Date,Nifty,CCIL,Mibor,Gold,Hybrid
27-07-2004,5738.11,938.38,103.7,6122.96,960.55
28-07-2004,5673.02,938.82,103.72,6184.94,955.2
29-07-2004,5641.06,940.23,103.73,6172.45,953.17
30-07-2004,5641.06,940.43,103.77,6179.74,953.27
31-07-2004,5581.49,944.55,103.79,6225.97,950.22
01-08-2004,5651.09,938.82,103.8,6208.26,953.32
02-08-2004,5662.87,936.24,103.81,6160.6,953.04
03-08-2004,5715.62,932.81,103.83,6140.68,955.84
04-08-2004,5672.27,935.91,103.87,6189,953.68
05-08-2004,5704.1,934.71,103.88,6172.42,955.81
06-08-2004,5754.76,934.26,103.9,6109.09,959.92
07-08-2004,5842.54,933.24,103.91,6169.11,966.93
08-08-2004,5832.88,933.19,103.93,6173.39,966.07
09-08-2004,5891.36,922.19,103.98,6214.28,965.58
10-08-2004,5930.47,916.61,104,6205.72,966.14
11-08-2004,5929.6,918.74,104.02,6256.68,967.13
12-08-2004,5973.75,920.81,104.03,6234.46,971.95
13-08-2004,5954.31,918.97,104.05,6252.99,969.36
14-08-2004,5964.01,919.18,104.1,6287.43,970.3
15-08-2004,5964.01,919.98,104.12,6267.1,970.7
16-08-2004,5996.7,923.07,104.14,6303.07,975.04
17-08-2004,6016.58,921.01,104.16,6373.34,975.71
18-08-2004,6025.47,923.46,104.17,6354.66,977.7
19-08-2004,5961.71,924.8,104.23,6414.86,972.91
20-08-2004,5963.8,927.71,104.25,6420.66,974.55
21-08-2004,6009.86,925.24,104.26,6410.23,977.25
22-08-2004,6035.95,923.35,104.28,6439.27,978.54
23-08-2004,6035.03,923.06,104.29,6477.63,978.32
24-08-2004,6035.03,923.27,104.33,6480.8,978.42
25-08-2004,6157.77,924.03,104.35,6456.79,989.31
26-08-2004,6234.29,925.17,104.36,6388.19,996.44
27-08-2004,6227.83,927.67,104.37,6391.71,997.13
28-08-2004,6328.43,941.02,104.39,6312.16,1012.42
29-08-2004,6322.76,940.13,104.43,6397.3,1011.49
30-08-2004,6322.5,944.75,104.44,6266.29,1013.78
31-08-2004,6316.28,944.76,104.46,6270.69,1013.25
01-09-2004,6261.52,947.16,104.47,6147.15,1009.76
02-09-2004,6304.27,948.33,104.48,6154.1,1014.01
03-09-2004,6233.54,951.48,104.52,6168.65,1009.53
04-09-2004,6268.72,950.38,104.54,6179.37,1011.99
05-09-2004,6325.53,947.96,104.55,6104.07,1015.64
06-09-2004,6402.29,946.94,104.57,6137.68,1021.71
07-09-2004,6420.38,947.5,104.58,6095.84,1023.54
08-09-2004,6346.48,949.69,104.62,6156.54,1018.3
09-09-2004,6403,948.72,104.64,6192.24,1022.66
10-09-2004,6451.3,951.07,104.66,6157.86,1027.97
11-09-2004,6413.66,953.71,104.68,6138.41,1026.07
12-09-2004,6441.85,957.79,104.69,6143.77,1030.52
13-09-2004,6498.06,957.84,104.75,6156.66,1035.36
14-09-2004,6513.03,958.63,104.76,6203.25,1037.03
15-09-2004,6563.48,962.33,104.78,6172.02,1043.2
16-09-2004,6567.94,963.17,104.8,6074.26,1044.01
17-09-2004,6522.54,962.8,104.81,6087.83,1039.93
18-09-2004,6602.69,962.71,104.86,6041.65,1046.75
19-09-2004,6679.2,963.11,104.88,5927.15,1053.5
20-09-2004,6651.01,965.32,104.89,5924.18,1052.19
21-09-2004,6458.84,965.56,104.91,5914.38,1035.86
22-09-2004,6367.39,963.32,104.92,5888.94,1026.91
23-09-2004,6420.46,963.72,104.96,5837.05,1031.65
24-09-2004,6308.54,963.62,104.97,5859.52,1022.02
25-09-2004,6222.87,964.39,104.99,5883.42,1015.07
26-09-2004,6102.74,964.6,105,5912.56,1004.89
27-09-2004,6221.06,964.25,105.02,5890.56,1014.84
28-09-2004,6173.82,962.91,105.06,5875.33,1010.13
29-09-2004,6194.07,958.49,105.07,5863.22,1009.65
30-09-2004,6192.35,959.03,105.09,5884.73,1009.78
01-10-2004,6173.32,957.26,105.1,5873.86,1007.26
02-10-2004,6183.24,957.73,105.11,5883.16,1008.34
03-10-2004,6183.24,957.94,105.15,5937.56,1008.45
04-10-2004,6106.43,958.51,105.17,5944.86,1002.16
05-10-2004,6162.98,958.39,105.18,5880.08,1006.94
06-10-2004,6162.98,958.59,105.2,5934.08,1007.04
07-10-2004,6239.43,958.14,105.21,5929.91,1013.36
08-10-2004,6419.09,959.34,105.25,5935.53,1029.35
09-10-2004,6555.94,961.17,105.27,5872.08,1041.98
10-10-2004,6552.47,961.33,105.28,5852.24,1041.76
11-10-2004,6530.06,962.29,105.29,5822.7,1040.33
12-10-2004,6619.97,961.18,105.31,5756.76,1047.47
13-10-2004,6618.23,961.24,105.35,5727.54,1047.35
14-10-2004,6535.17,964.84,105.36,5727.3,1042.04
15-10-2004,6544.77,968.22,105.38,5739.52,1044.55
16-10-2004,6593.53,968.64,105.39,5741.4,1048.94
17-10-2004,6577.83,971.08,105.4,5818.59,1048.81
18-10-2004,6633.76,972.57,105.45,5866.55,1054.34
19-10-2004,6679.33,971.8,105.46,5925.39,1057.86
20-10-2004,6670.06,970.75,105.47,5930.05,1056.54
21-10-2004,6607.78,970.76,105.49,5919.78,1051.22
22-10-2004,6589.29,972.14,105.5,5947.3,1050.32
23-10-2004,6584.32,973.45,105.54,5957.85,1050.55
24-10-2004,6534.68,973,105.56,5954.08,1046.07
25-10-2004,6589.41,973.72,105.57,6044.7,1051.12
26-10-2004,6582.5,973.97,105.58,6039.85,1050.66
27-10-2004,6574.21,974.24,105.6,6029.1,1050.08
28-10-2004,6569.72,974.66,105.64,6045.76,1049.9
29-10-2004,6713.86,975.13,105.65,6049.93,1062.48
30-10-2004,6651.08,972.98,105.67,6014.14,1056.03
31-10-2004,6686.89,969.22,105.68,6019.65,1057.22
01-11-2004,6784.72,968.63,105.7,5977,1065.3
02-11-2004,6849.48,969.46,105.74,6028.75,1071.26
03-11-2004,6878.98,973.9,105.75,6040.2,1076.01
04-11-2004,6915.09,976,105.76,6120.78,1080.15
05-11-2004,6892.82,975.98,105.78,6112.35,1078.23
06-11-2004,6907.65,975.54,105.79,6126.76,1079.28
07-11-2004,6853.73,975.52,105.83,6166.36,1074.66
08-11-2004,6810.04,976.48,105.85,6103.1,1071.39
09-11-2004,6752.45,976.55,105.86,6098.95,1066.5
10-11-2004,6746.88,975.54,105.88,6151.48,1065.52
11-11-2004,6669.52,974.26,105.89,6086.02,1058.25
12-11-2004,6700.34,974.09,105.93,6098.86,1060.81
13-11-2004,6656.69,975.1,105.94,5996.06,1057.57
14-11-2004,6535.45,974.22,105.96,5945.88,1046.75
15-11-2004,6454.46,973.77,105.97,5912.48,1039.59
16-11-2004,6442.87,974.37,105.99,5913.91,1038.9
17-11-2004,6442.87,975.69,106.03,5926.53,1039.56
18-11-2004,6510.74,976.5,106.04,5928.1,1045.78
19-11-2004,6367.86,976.61,106.06,5932.34,1033.6
20-11-2004,6381.4,976.49,106.07,5933.7,1034.7
21-11-2004,6492.82,977.32,106.09,5958.48,1044.65
22-11-2004,6605.04,976.84,106.13,5922.42,1054.02
23-11-2004,6604.42,972.98,106.14,5913.29,1052.04
24-11-2004,6550.29,971.5,106.16,5922.04,1046.66
25-11-2004,6606.41,970.75,106.17,5937.91,1051.09
26-11-2004,6545.64,968.25,106.19,5924.76,1044.64
27-11-2004,6479.54,964,106.23,5908.17,1036.85
28-11-2004,6397.52,963.46,106.24,5951.23,1029.56
29-11-2004,6464.61,963.53,106.26,5954.33,1035.34
30-11-2004,6467.92,964.6,106.27,5977.44,1036.16
01-12-2004,6467.92,965.2,106.28,5906.4,1036.46
02-12-2004,6248.34,965.16,106.33,5922.69,1017.64
03-12-2004,6156.78,961.17,106.34,5940.43,1007.8
04-12-2004,6134.86,961.38,106.35,6040.81,1006.03
05-12-2004,6243.74,961.71,106.37,6056.14,1015.52
06-12-2004,6299.2,962.8,106.38,6025.5,1020.81
07-12-2004,6346.57,963.46,106.42,6041.24,1025.2
08-12-2004,6377.85,962.38,106.44,6044.7,1027.33
09-12-2004,6339.98,962.67,106.45,6081.91,1024.24
10-12-2004,6278.5,962.91,106.47,6018.56,1019.09
11-12-2004,6284.2,961.19,106.48,5992.25,1018.72
12-12-2004,6154.44,958.44,106.52,6013.18,1006.23
13-12-2004,6195.15,952.84,106.54,5967.35,1006.92
14-12-2004,6216.77,953.87,106.55,5937.81,1009.29
15-12-2004,6289.55,956.42,106.57,5946,1016.79
16-12-2004,6359.65,958.05,106.58,5944.75,1023.61
17-12-2004,6388.48,958.22,106.63,5893.44,1026.17
18-12-2004,6481.35,958.43,106.64,5900.34,1034.22
19-12-2004,6454.71,959.67,106.66,5893.66,1032.56
20-12-2004,6445.13,960.58,106.67,5895.85,1032.2
21-12-2004,6456.82,961.42,106.69,5829.57,1033.62
22-12-2004,6451.54,962.66,106.73,5815.71,1033.78
23-12-2004,6528.03,964.01,106.74,5811.28,1041.01
24-12-2004,6466,964.3,106.76,5796.89,1035.84
25-12-2004,6447,964.75,106.77,5834.96,1034.44
26-12-2004,6478.94,966.17,106.79,5820.51,1037.89
27-12-2004,6499.5,968.6,106.83,5786.05,1040.86
28-12-2004,6539.83,970.76,106.85,5780.11,1045.39
29-12-2004,6565.37,972.05,106.86,5787.84,1048.23
30-12-2004,6597.6,974.13,106.88,5811.97,1052.03
31-12-2004,6670.78,975.29,106.89,5792.36,1058.87
01-01-2005,6707.72,973.81,106.94,5821.58,1061.3
02-01-2005,6663.55,972.47,106.95,5814.24,1056.84
03-01-2005,6715.11,971.79,106.97,5806.77,1060.92
04-01-2005,6729.9,973.62,106.98,5785.63,1063.1
05-01-2005,6655.56,975.09,107,5863.91,1057.47
06-01-2005,6748.85,977.09,107.04,5865.61,1066.46
07-01-2005,6758.19,979.55,107.06,5916.26,1068.49
08-01-2005,6781.25,980.26,107.07,5889.32,1070.82
09-01-2005,6858.24,982.79,107.08,5866.04,1078.68
10-01-2005,6832.53,985.87,107.1,5870.5,1078.02
11-01-2005,6781.99,985.55,107.14,5921.39,1073.53
12-01-2005,6832.68,982.86,107.16,5959.27,1076.52
13-01-2005,6860.18,982.97,107.17,5927.72,1078.93
14-01-2005,6906.98,981.88,107.19,5957.16,1082.39
15-01-2005,6900.41,981.89,107.2,6055.83,1081.84
16-01-2005,6906.52,980.99,107.25,6076.6,1081.91
17-01-2005,6984.55,981.57,107.26,6073.83,1088.88
18-01-2005,7076.52,983.25,107.28,6081.08,1097.6
19-01-2005,7145.34,986.34,107.29,6064.06,1105.04
20-01-2005,7119.76,988.29,107.31,6111.17,1103.82
21-01-2005,7148.62,989.08,107.35,6107.1,1106.69
